City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Poum,NC,76.42,clear sky,-20.2333,164.0167,Gîte kajeon
1,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
5,Bonthe,SL,76.33,moderate rain,7.5264,-12.505,Bonthe Holiday Village
6,Fernley,US,73.51,scattered clouds,39.608,-119.2518,Super 8 by Wyndham Fernley
7,Atuona,PF,77.38,few clouds,-9.8,-139.0333,Villa Enata
8,Labuhan,ID,81.66,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
9,Shakawe,BW,75.96,scattered clouds,-18.3667,21.85,Ditlhapi Guest House
10,Denpasar,ID,74.86,broken clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
14,Bambous Virieux,MU,72.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
15,Rikitea,PF,75.47,overcast clouds,-23.1203,-134.9692,People ThankYou
16,Santa Cruz,BO,86.05,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
18,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
21,Bundaberg,AU,87.22,broken clouds,-24.85,152.35,Takalvan Motel
24,Sehithwa,BW,78.53,few clouds,-20.4667,22.7167,MONLEK GUEST HOUSE
33,Souillac,MU,72.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
34,Pedernales,DO,80.29,clear sky,18.0384,-71.744,Hotel Costa Marina
39,Kapaa,US,83.19,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
44,Port Blair,IN,80.73,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
49,Harper,LR,77.45,overcast clouds,4.375,-7.7169,Screensaver
50,Butaritari,KI,83.39,clear sky,3.0707,172.7902,Isles Sunset Lodge
52,Santa Cruz Del Norte,CU,77.72,overcast clouds,23.1539,-81.9236,Felipon Pon Pon
55,Hilo,US,80.26,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
58,Axim,GH,77.68,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
59,Posse,BR,76.6,broken clouds,-14.0931,-46.3694,Pousada das Palmeiras
61,Kloulklubed,PW,86.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
62,Sarangani,PH,84.02,scattered clouds,5.4033,125.4636,Ballistic Islet
63,Alyangula,AU,85.87,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
67,Cayenne,GF,82.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
76,Hithadhoo,MV,83.57,overcast clouds,-0.6,73.0833,Scoop Guest House
77,Monrovia,LR,74.97,light rain,6.3005,-10.7969,Sunset Inn
79,Wapi Pathum,TH,75.63,overcast clouds,15.8452,103.3768,Nayai Resort
83,Dwarka,IN,78.93,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
85,Champerico,GT,86.54,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
89,Kalmunai,LK,79.5,overcast clouds,7.4167,81.8167,VS Villa
92,Grand Gaube,MU,72.37,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
93,Jibuti,DJ,73.8,few clouds,11.5,42.5,Orchid Main Camp Goubet
94,Yanam,IN,76.46,overcast clouds,16.7333,82.2167,The Regency Hotel
97,Vanimo,PG,84.83,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
110,Bengkulu,ID,76.82,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
115,Faanui,PF,78.94,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
124,Ixtapa,MX,83.23,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
126,Alofi,NU,82.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
127,Blythe,US,89.04,clear sky,33.6103,-114.5964,Rodeway Inn & Suites
133,Villa Carlos Paz,AR,79.9,overcast clouds,-31.4241,-64.4978,Monte Carlo
134,Kerema,PG,83.84,broken clouds,-7.9631,145.7785,Frena Lodge
136,Caravelas,BR,73.18,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
139,Touros,BR,77.9,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
142,Fare,PF,78.6,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
146,Puri,IN,77.52,broken clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
147,Andrews,US,72.05,clear sky,32.3187,-102.5457,Days Inn by Wyndham Andrews Texas
149,Ambilobe,MG,73.08,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
